Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Guzmán, M., Meléndez, R., Jiménez, C., Piche, M., Jiménez, E., León, B., Cordero, J.M., Ramirez-Carvajal, L., Uribe, A., Van Nes, A., Stegeman, A., Romero, J.J.","57224543215; 7006114563; 57210402191; 57195246890; 57224539498; 57201820060; 57224546355; 55246105500; 57224547669; 6603953910; 7102520947; 35362709300","Analysis of ORF5 sequences of Porcine Reproductive and Respiratory Syndrome virus (PRRSV) circulating within swine farms in Costa Rica",2021,"BMC Veterinary Research",17,"1", 217,,,,2,10.1186/s12917-021-02925-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107853548&partnerID=40&md5=bdd2371e2d7181d58bfe07a2bc5e656e",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85107853548
"Bekaert, D.V., Gazel, E., Turner, S., Behn, M.D., de Moor, J.M., Zahirovic, S., Manea, V.C., Hoernle, K., Fischer, T.P., Hammerstrom, A., Seltzer, A.M., Kulongoski, J.T., Patel, B.S., Schrenk, M.O., Halldórsson, S.A., Nakagawa, M., Ramírez, C.J., Krantz, J.A., Yücel, M., Ballentine, C.J., Giovannelli, D., Lloyd, K.G., Barry, P.H.","57194547332; 12785643800; 57215224219; 6602078294; 8651296800; 54787175800; 56002690100; 56881754000; 7402051549; 57357082900; 57220348267; 6506451638; 57356867200; 7004583109; 24605297500; 57356934900; 7102424433; 57209365209; 22735900000; 7003697315; 8591583200; 8670502400; 35239631700","High 3He/4He in central Panama reveals a distal connection to the Galapagos plume",2021,"Proceedings of the National Academy of Sciences of the United States of America",118,"47", e2110997118,,,,1,10.1073/pnas.2110997118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120160242&partnerID=40&md5=489a61fdce30385dbebfd3320528f730",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85120160242
"Muñoz-Arrieta, R., Esquivel-Alvarado, D., Alfaro-Viquez, E., Rodriguez-Salazar, M., Alvarez-Valverde, V., Rodriguez, G., Reed, J.D.","57202765841; 57200226954; 57200145874; 57554766700; 57204497163; 55851946978; 7403642384","Nutritional and Chemical Composition of the Costa Rican Guava (Psidium friedrichsthalianum [O. Berg] Nied): An Underexploited Edible Fruit with Nutritional and Industrial Potential",2021,"ACS Food Science and Technology",1,"10",,1970,1978,,,10.1021/acsfoodscitech.1c00262,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85127279256&partnerID=40&md5=058ecacf9e761f9237864f9ba4c1bca8",Article,Final,"",Scopus,2-s2.0-85127279256
"de Oca-Vásquez, G.M., Menezes, D.B., Vega-Baudrit, J.R., Ferreira, L.F.R., Bharagava, R.N., Iqbal, H.M.N., Bilal, M.","57194943032; 57195236254; 8611304200; 37067328300; 15761843200; 56564116300; 57316728100","Fate and transport of nanoparticles used in the remediation of polluted soil",2021,"Nano-Bioremediation: Fundamentals and Applications",,"",,541,562,,,10.1016/B978-0-12-823962-9.00001-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126159626&partnerID=40&md5=1f7b13e5c9419cd447527005b74f8686",Book Chapter,Final,"",Scopus,2-s2.0-85126159626
"Miranda, M.H., Menezes, D.B., Vega-Baudrit, J.R., Ferreira, L.F.R., Bharagava, R.N., Iqbal, H.M.N., Bilal, M.","57484777000; 57195236254; 8611304200; 37067328300; 15761843200; 56564116300; 57316728100","Nanobioremediation: An introduction",2021,"Nano-Bioremediation: Fundamentals and Applications",,"",,3,22,,,10.1016/B978-0-12-823962-9.00035-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126154764&partnerID=40&md5=3be6d06654ab6d27b7cab0a1f857425e",Book Chapter,Final,"",Scopus,2-s2.0-85126154764
"Chacón-Díaz, C., Zabalza-Baranguá, A., Román, B.S., Blasco, J.-M., Iriarte, M., Salas-Alfaro, D., Hernández-Mora, G., Barquero-Calvo, E., Guzmán-Verri, C., Chaves-Olarte, E., Grilló, M.-J., Moreno, E.","23569410500; 55931802200; 56675559800; 7102318831; 7006715517; 57353798300; 24758807200; 22133768300; 6602305272; 6602745898; 57188637123; 7202827718","Brucella abortus S19 GFP-tagged vaccine allows the serological identification of vaccinated cattle",2021,"PLoS ONE",16,"11 November", e0260288,,,,,10.1371/journal.pone.0260288,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85119991291&partnerID=40&md5=25e6b4ee17713c469c8afc5a3814b028",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85119991291
"Sánchez-Murillo, P., Antúnez, A., Rojas-Valverde, D., Ibáñez, S.J.","57336334000; 55735244500; 57193240720; 16031388100","On-match impact and outcomes of scoring first in professional european female football",2021,"International Journal of Environmental Research and Public Health",18,"22", 12009,,,,,10.3390/ijerph182212009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118988738&partnerID=40&md5=11b8da663fc56d73c97f378e04875c1d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118988738
"Hernández-Soto, A., Chacón-Cerdas, R.","57219902546; 57191442633","Rnai crop protection advances",2021,"International Journal of Molecular Sciences",22,"22", 12148,,,,,10.3390/ijms222212148,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118628789&partnerID=40&md5=cd826ddb929272c74a3bddcd304bfb91",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118628789
"Mérida, A.M., Helier, A., Cortés‐gómez, A.A., Girondot, M.","57324689000; 57324880600; 56433360500; 6701502598","Hatching success rather than temperature‐dependent sex determination as the main driver of olive ridley (Lepidochelys olivacea) nesting activity in the pacific coast of central america",2021,"Animals",11,"11", 3168,,,,1,10.3390/ani11113168,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118558309&partnerID=40&md5=9bcba798252582cd60defe43d53d9315",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118558309
"Vasquez-Bonilla, A.A., Rojas-Valverde, D., González-Custodio, A., Timón, R., Olcina, G.","57192810947; 57193240720; 57215330561; 24774139800; 15751462000","Tent versus mask-on acute effects during repeated-sprint training in normobaric hypoxia and normoxia",2021,"Journal of Clinical Medicine",10,"21", 4879,,,,,10.3390/jcm10214879,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85117521816&partnerID=40&md5=7df55be97a2bb5bc352634c4bacee57f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85117521816
