assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
54378842,59299,Nototriton picadoi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,picadoi,,,,"(Stejneger, 1911)",Least Concern,,3.1,Stable,Global
54378950,59300,Nototriton richardi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,richardi,,,,"(Taylor, 1949)",Least Concern,,3.1,Stable,Global
54379226,59303,Nototriton tapanti,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,tapanti,,,,"Good &amp; Wake, 1993",Least Concern,,3.1,Unknown,Global
54379584,59307,Oedipina altura,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,altura,,,,"Brame, 1968",Data Deficient,,3.1,Unknown,Global
54379711,59308,Oedipina carablanca,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,carablanca,,,,"Brame, 1968",Endangered,B1ab(iii),3.1,Decreasing,Global
54380420,59320,Oedipina paucidentata,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,paucidentata,,,,"Brame, 1968",Data Deficient,,3.1,Unknown,Global
54380552,59321,Oedipina poelzi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,poelzi,,,,"Brame, 1963",Endangered,B1ab(iii),3.1,Decreasing,Global
54382378,59542,Dermophis costaricense,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,DERMOPHIIDAE,Dermophis,costaricense,,,,"Taylor, 1955",Data Deficient,,3.1,Unknown,Global
54382793,59584,Oscaecilia osae,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,CAECILIIDAE,Oscaecilia,osae,,,,"Lahanas &amp; Savage, 1992",Least Concern,,3.1,Unknown,Global
54383650,61899,Bolitoglossa obscura,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,obscura,,,,"Hanken, Wake &amp; Savage, 2005",Data Deficient,,3.1,Unknown,Global
54383849,61901,Bolitoglossa sombra,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,sombra,,,,"Hanken, Wake &amp; Savage, 2005",Near Threatened,B1ab(iii),3.1,Stable,Global
54384132,135768,Incilius guanacaste,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,guanacaste,,,,"(Vaughan &amp; Mendelson, 2007)",Endangered,"B1ab(i,ii,iii)",3.1,Unknown,Global
54384471,136005,Bolitoglossa tica,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,tica,,,,"García-París, Parra-Olea &amp; Wake, 2008",Data Deficient,,3.1,Unknown,Global
54384696,136078,Incilius chompipe,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,chompipe,,,,"(Vaughan &amp; Mendelson, 2007)",Endangered,B1ab(iii),3.1,Stable,Global
54385004,186064,Atelopus chirripoensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,chirripoensis,,,,"Savage &amp; Bolaños, 2009",Data Deficient,,3.1,Unknown,Global
54385126,186065,Diasporus ventrimaculatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ELEUTHERODACTYLIDAE,Diasporus,ventrimaculatus,,,,"Chaves, García-Rodríguez, Mora &amp; Leal, 2009",Least Concern,,3.1,Stable,Global
54385884,18435628,Bolitoglossa indio,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,indio,,,,"Sunyer, Lotzkat, Hertz, Wake, Aléman, Robleto &amp; Köhler, 2008",Endangered,B1ab(iii),3.1,Decreasing,Global
54386141,50926599,Bolitoglossa kamuk,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,kamuk,,,,"Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños &amp; Wake, 2012",Vulnerable,D2,3.1,Stable,Global
67662809,67662806,Lampropeltis micropholis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Lampropeltis,micropholis,,,,"Cope, 1860",Least Concern,,3.1,Stable,Global
73611567,174480,Ctenosaura similis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,IGUANIDAE,Ctenosaura,similis,,,,"(Gray, 1830)",Least Concern,,3.1,Stable,Global
78319610,89497686,Dasyprocta punctata,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,DASYPROCTIDAE,Dasyprocta,punctata,,,,"Gray, 1842",Least Concern,,3.1,Stable,Global
79915739,190631,Senticolis triaspis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Senticolis,triaspis,,,,"(Cope, 1866)",Least Concern,,3.1,Stable,Global
