internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
58749,Lithobates warszewitschii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Lithobates,warszewitschii,,,,,"(Schmidt, 1857)",
150088916,Craugastor aenigmaticus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,aenigmaticus,,,,,"Arias, Chaves &amp; Parra-Olea, 2018",
197472,Coniophanes fissidens,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Coniophanes,fissidens,,,,,"(Günther, 1858)",
151594796,Cruziohyla sylviae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PHYLLOMEDUSIDAE,Cruziohyla,sylviae,,,,,"Gray, 2018","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This is a split from the broader concept of Genus_species (Citation).&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12801,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">This is a split from the broader concept of&#160;<em>Cruziohyla calcarifer</em>&#160;(Gray 2018)."
22680816,Melanerpes pucherani,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,pucherani,,,,,"(Malherbe, 1849)",
22690891,Leptotila cassinii,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Leptotila,cassinii,,,,,"Lawrence, 1867",<em>Leptotila cassinii </em>(del Hoyo and Collar 2014) was previously listed as <em>L. cassini.</em>
22690862,Leptotila plumbeiceps,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Leptotila,plumbeiceps,,,,,"Sclater & Salvin, 1868",
22684447,Morococcyx erythropygus,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Morococcyx,erythropygus,,,,,"(Lesson, 1842)",
155658784,Megascops cooperi,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Megascops,cooperi,,,,,"(Ridgway, 1878)","The form <em>lambi </em>was reassigned to <em>Megascops asio </em>from <em>M. cooperi </em>in del Hoyo and Collar (2014), however the claimed sympatry of <em>lambi </em>and <em>M. cooperi </em>(König<em> et al.</em>&#160;2008) is not clear (T.S. Schulenberg <em>in litt. </em>2019) and <em>lambi </em>is reassigned back to <em>M. cooperi</em>."
22682980,Hylomanes momotula,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,MOMOTIDAE,Hylomanes,momotula,,,,,"Lichtenstein, 1839",
22682292,Malacoptila panamensis,ANIMALIA,CHORDATA,PICIFORMES,AVES,BUCCONIDAE,Malacoptila,panamensis,,,,,"Lafresnaye, 1847",
22684337,Coccyzus minor,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coccyzus,minor,,,,,"(Gmelin, 1788)",
198510,Scincella cherriei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Scincella,cherriei,,,,,"(Cope, 1893)",
152342874,Diasporus amirae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ELEUTHERODACTYLIDAE,Diasporus,amirae,,,,,"Arias, Chaves, Salazar, Salazar-Zúñiga &amp; García-Rodríguez, 2019",
22721740,Setophaga cerulea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARULIDAE,Setophaga,cerulea,,,,,"(Wilson, 1810)","<p><em>Setophaga cerulea </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Dendroica </em>following AERC TAC (2003); AOU (1998 &amp; supplements); SACC (2005 &amp; updates); Sibley &amp; Monroe (1990, 1993); Stotz et al. (1996).</p>  <p>&#160;</p>"
