internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
144136822,Carcharhinus porosus,"Carcharias porosus Ranzani, 1839",Carcharias,porosus,"Ranzani, 1839",,
60236,Etmopterus bigelowi,Etmopterus sp. A,Etmopterus,sp. A,,subspecies,
63161,Gurgesiella atlantica,"Pseudoraja  atlantica Bigelow & Schroeder, 1962",Pseudoraja ,atlantica,"Bigelow & Schroeder, 1962",,
55600,Isthmohyla picadoi,"Hyla  picadoi  Dunn, 1937",Hyla ,picadoi ,"Dunn, 1937",,
81265980,Cebus imitator,"Cebus capucinus ssp. imitator Thomas, 1903",Cebus,capucinus,,subspecies,"Thomas, 1903"
81265980,Cebus imitator,"Cebus capucinus ssp. limitaneus Hollister, 1914",Cebus,capucinus,,subspecies,"Hollister, 1914"
13245,Mesoplodon europaeus,"Mesoplodon gervaisi (Deslongchamps, 1866)",Mesoplodon,gervaisi,"(Deslongchamps, 1866)",,
13245,Mesoplodon europaeus,"Mesoplodon gervaisi Deslongchamps, 1866",Mesoplodon,gervaisi,"Deslongchamps, 1866",,
87633006,Incilius valliceps,"Bufo valliceps Wiegmann, 1833",Bufo,valliceps,"Wiegmann, 1833",,
54635,Incilius fastidiosus,"Cranopsis fastidiosa (Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green, and Wheeler, 2006)",Cranopsis,fastidiosa,"(Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green, and Wheeler, 2006)",,
54635,Incilius fastidiosus,"Ollotis fastidiosa (Frost, Grant, and Mendelson, 2006)",Ollotis,fastidiosa,"(Frost, Grant, and Mendelson, 2006)",,
54635,Incilius fastidiosus,"Ollotis coerulescens Cope, 1875",Ollotis,coerulescens,"Cope, 1875",,
54635,Incilius fastidiosus,"Bufo caerulescens (Brocchi, 1882)",Bufo,caerulescens,"(Brocchi, 1882)",,
54635,Incilius fastidiosus,"Bufo fastidiosus (Boulenger, 1882)",Bufo,fastidiosus,"(Boulenger, 1882)",,
54635,Incilius fastidiosus,"Cranophryne fastidiosa (Cope, 1889)",Cranophryne,fastidiosa,"(Cope, 1889)",,
54635,Incilius fastidiosus,"Nannophryne coerulescens (Cope, 1890)",Nannophryne,coerulescens,"(Cope, 1890)",,
54635,Incilius fastidiosus,"Nannophryne fastidiosa (Günther, 1901)",Nannophryne,fastidiosa,"(Günther, 1901)",,
54635,Incilius fastidiosus,"Bufo coerulescens (Nieden, 1923)",Bufo,coerulescens,"(Nieden, 1923)",,
54635,Incilius fastidiosus,"Cranopsis fastidiosus Cope, 1875",Cranopsis,fastidiosus,"Cope, 1875",,
54803,Incilius epioticus,"Crepidius epioticus Cope, 1875",Crepidius,epioticus,"Cope, 1875",,
54803,Incilius epioticus,"Bufo epioticus (Cope, 1875)",Bufo,epioticus,"(Cope, 1875)",,
54803,Incilius epioticus,"Nannophryne epiotica (Cope, 1875)",Nannophryne,epiotica,"(Cope, 1875)",,
54803,Incilius epioticus,"Crepidophryne epiotica (Cope, 1875)",Crepidophryne,epiotica,"(Cope, 1875)",,
55323729,Hyalinobatrachium colymbiphyllum,"Hyalinobatrachium crybetes McCranie & Wilson, 1997",Hyalinobatrachium,crybetes,"McCranie & Wilson, 1997",,
55323729,Hyalinobatrachium colymbiphyllum,"Cochranella  colymbiphyllum (Taylor, 1949)",Cochranella ,colymbiphyllum,"(Taylor, 1949)",,
55323729,Hyalinobatrachium colymbiphyllum,"Centrolenella  colymbiphyllum  Taylor, 1949",Centrolenella ,colymbiphyllum ,"Taylor, 1949",,
55314,Duellmanohyla uranochroa,"Hyla  alleei  Taylor, 1952",Hyla ,alleei ,"Taylor, 1952",,
55314,Duellmanohyla uranochroa,"Hyla uranochroa Cope, 1875",Hyla,uranochroa,"Cope, 1875",,
