internalTaxonId,scientificName,name,language,main
22724302,Dives dives,Melodious Blackbird,English,true
22723994,Psarocolius wagleri,Chestnut-headed Oropendola,English,true
22724065,Amblycercus holosericeus,Yellow-billed Cacique,English,true
22722416,Habia fuscicauda,Red-throated Ant Tanager,English,false
22722416,Habia fuscicauda,Red-throated Ant-Tanager,English,false
22722416,Habia fuscicauda,Red-throated Ant-tanager,English,true
22722182,Chlorospingus pileatus,Sooty-capped Bush Tanager,English,false
22722182,Chlorospingus pileatus,Sooty-capped Bush-Tanager,English,false
22722182,Chlorospingus pileatus,Sooty-capped Bush-tanager,English,true
22721094,Junco vulcani,Volcano Junco,English,true
22721224,Peucaea ruficauda,Stripe-headed Sparrow,English,true
22721294,Aimophila rufescens,Rusty Sparrow,English,true
22724923,Arremon costaricensis,Costa Rican Brush-finch,English,true
22721566,Arremon crassirostris,Sooty-faced Finch,English,true
22721367,Arremon aurantiirostris,Orange-billed Sparrow,English,true
22721557,Pezopetes capitalis,Large-footed Finch,English,true
22721560,Pselliophorus tibialis,Yellow-thighed Finch,English,true
22722317,Mitrospingus cassinii,Dusky-faced Tanager,English,true
22721934,Myioborus torquatus,Collared Redstart,English,false
22721934,Myioborus torquatus,Collared Whitestart,English,true
22722022,Basileuterus melanogenys,Black-cheeked Warbler,English,true
22722041,Myiothlypis fulvicauda,Buff-rumped Warbler,English,true
22721860,Geothlypis poliocephala,Gray-crowned Yellowthroat,English,false
22721860,Geothlypis poliocephala,Grey-crowned Yellowthroat,English,true
22721651,Oreothlypis gutturalis,Flame-throated Warbler,English,true
22722790,Chlorophonia callophrys,Golden-browed Chlorophonia,English,true
22722763,Euphonia anneae,Tawny-capped Euphonia,English,true
22722750,Euphonia gouldi,Olive-backed Euphonia,English,true
22722744,Euphonia imitans,Spot-crowned Euphonia,English,true
22722703,Euphonia luteicapilla,Yellow-crowned Euphonia,English,true
22722700,Euphonia affinis,Scrub Euphonia,English,true
22712162,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,English,true
22712122,Pygochelidon cyanoleuca,Blue-and-white Swallow,English,true
22733821,Tachycineta albilinea,Mangrove Swallow,English,true
22712092,Progne tapera,Brown-chested Martin,English,true
22712110,Progne chalybea,Gray-breasted Martin,English,false
22712110,Progne chalybea,Grey-breasted Martin,English,true
22705723,Cyanocorax affinis,Black-chested Jay,English,true
22705742,Cyanocorax morio,Brown Jay,English,true
22705760,Cyanocorax formosus,White-throated Magpie-Jay,English,false
22705760,Cyanocorax formosus,White-throated Magpie-jay,English,true
22705663,Cyanolyca cucullata,Azure-hooded Jay,English,true
22705678,Cyanolyca argentigula,Silvery-throated Jay,English,true
22700904,Carpodectes nitidus,Snowy Cotinga,English,true
22700859,Lipaugus unirufus,Rufous Piha,English,true
22700871,Cotinga amabilis,Lovely Cotinga,English,true
22700925,Querula purpurata,Purple-throated Fruitcrow,English,true
22702978,Sclerurus guatemalensis,Scaly-throated Leaftosser,English,true
22703026,Dendrocincla homochroa,Ruddy Woodcreeper,English,true
22702308,Synallaxis brachyura,Slaty Spinetail,English,true
22702301,Synallaxis albescens,Pale-breasted Spinetail,English,true
22702408,Cranioleuca erythrops,Red-faced Spinetail,English,true
22702719,Margarornis rubiginosus,Ruddy Treerunner,English,true
22702707,Premnoplex brunnescens,Spotted Barbtail,English,true
22702890,Thripadectes rufobrunneus,Streak-breasted Treehunter,English,true
22736330,Clibanornis rubiginosus,Ruddy Foliage-gleaner,English,true
22702771,Syndactyla subalaris,Lineated Foliage-gleaner,English,true
22702786,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,English,true
22703152,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,English,true
22703191,Campylorhamphus pusillus,Brown-billed Scythebill,English,true
22703136,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,English,false
22703136,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,English,true
22729055,Xiphorhynchus susurrans,Cocoa Woodcreeper,English,true
22703010,Dendrocincla fuliginosa,Plain-brown Woodcreeper,English,true
22703020,Dendrocincla anabatina,Tawny-winged Woodcreeper,English,true
22703209,Formicarius rufipectus,Rufous-breasted Antthrush,English,true
22703206,Formicarius nigricapillus,Black-headed Antthrush,English,true
22724004,Psarocolius montezuma,Montezuma Oropendola,English,true
22723982,Psarocolius decumanus,Crested Oropendola,English,true
22724105,Icterus pectoralis,Spot-breasted Oriole,English,true
22731543,Icterus prosthemelas,Black-cowled Oriole,English,true
22724358,Molothrus oryzivorus,Giant Cowbird,English,true
22729346,Leistes militaris,Pampas Meadowlark,English,false
22729346,Leistes militaris,Red-breasted Meadowlark,English,false
22729346,Leistes militaris,Red-breasted Blackbird,English,true
22722409,Habia rubica,Red-crowned Ant Tanager,English,false
22722409,Habia rubica,Red-crowned Ant-Tanager,English,false
