"Species","pa","X","Y","bio1_23","bio2_23","bio3_23","bio4_23","bio5_23","bio6_23","bio7_23","bio8_23","bio9_23","bio10_23","bio11_23","bio12_23","bio13_23","bio14_23","bio15_23","bio16_23","bio17_23","bio18_23","bio19_23","alt_23"
"Tolomuco",1,389113.822690127,1185658.48129796,221.745995329645,97,74.3717062441092,674.936529999565,290.61296347156,160.984669715669,129.628293755891,223.318863996145,226.61296347156,231.424506524084,213.374289085536,3823.00693559508,492.956987717325,84.3443169139632,44,1373.77413414958,316.08058533901,442.367186990354,982.998208616352,755.035727173519
"Tolomuco",1,479105.651274954,1183121.62273459,258.546117898109,87,76,648.50287269147,316.597368409297,203.493521939491,113.103846469806,260.546117898109,262.597368409298,267.0396398376,249.546117898109,3577.4843860125,478.973518115912,82.9733162834175,40,1302.68694916609,363.880510845146,460.712255910639,983.775152950847,50.1267000074242
"Tolomuco",1,576394.605031169,938842.689477259,264.50957263873,104.205192928438,75,754.401974971163,337.589614143125,199.384421214687,138.205192928438,257.50957263873,265.589614143125,275.589614143125,255.589614143125,4071.03347837291,670.013853628385,88.81857022515,52.6910024135796,1677.39319809292,303.689284633604,731.932094344014,1401.71672308068,23.6530345791296
"Tolomuco",1,576247.18473754,938898.829745802,264.50957263873,104.205192928438,75,754.401974971163,337.589614143125,199.384421214687,138.205192928438,257.50957263873,265.589614143125,275.589614143125,255.589614143125,4071.03347837291,670.013853628385,88.81857022515,52.6910024135796,1677.39319809292,303.689284633604,731.932094344014,1401.71672308068,23.6530345791296
"Tolomuco",1,434590.458528068,1148700.35694298,248.940516994221,95.0423546850798,76,716.960732102596,316.940516994221,191.940516994221,125,245.566314895211,256.940516994221,259.940516994221,240.940516994221,3577.54772854825,489.909628059913,86.0445441097397,49.7002198028092,1391.46008114817,293.280110964562,449.101925922171,1066.06512836884,304.032340514107
"Tolomuco",1,559035.540990292,933661.125865063,261.910617736602,106.696460754466,75.696460754466,742.731853209806,336.214156982136,196.214156982136,140,254.214156982136,263.214156982136,272.214156982136,252.910617736602,4096.47869927214,705.910617736602,67.51769622767,57.696460754466,1782.71325585709,249.856627928544,691.249549437476,1439.62387359369,52.2345565849502
"Tolomuco",1,556927.061242763,934165.009892815,253.606060402777,109,75.3030302013886,743,330.606060402777,186.909090604166,143.696969798611,246.606060402777,255.909090604166,264.606060402777,244.909090604166,3841.2727147708,697.333332215274,54.2121208055543,61.6969697986114,1714.3333288611,205.848483222217,651.151513423606,1346.63635906249,218.242429527794
"Tolomuco",1,446777.14259941,1128247.29205345,211.971381157446,98,78.295128461167,587.46313283584,277.971381157446,153.266509618613,124.704871538833,209.866594992703,215.971381157446,219.809657703576,204.028318446573,2711.01594458265,434.428533468464,22.4862107958364,67.1617234538698,1224.37085614109,104.458632387509,352.886125421746,440.30003023632,1070.04829764948
"Tolomuco",1,587661.267007614,962061.647588562,260.625463684357,103.973330739109,75,729.483349632832,333.053338521782,195.625463684357,137.427874837426,255.692300024984,261.919665840528,271.237755926667,251.852829499902,4350.94305629533,678.52471484825,112.511355873431,48.6687384718153,1695.12529243237,384.480402721711,881.580676817057,1372.4056703929,121.223242106336
"Tolomuco",1,417411.21389229,1152438.96667426,228.971844268321,96.9082396555518,75.9082396555519,642.692322018591,296.756619402391,169.971844268321,126.78477513407,228.873545054676,234.063604612769,237.756619402391,220.971844268321,4106.19125709951,517.578271753678,121.248719141902,39.0059104630569,1439.26554760409,442.307631471788,535.951224592457,1040.60861209756,652.970831459934
